vote,gender,minority
Kamala Harris,0,1
Kamala Harris,0,1
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,0,0
Kamala Harris,0,0
Donald Trump,1,1
Donald Trump,1,1
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Other,2,2
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,0,1
Kamala Harris,0,1
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Other,1,0
Donald Trump,0,0
Donald Trump,0,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,0,0
Kamala Harris,0,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,0,1
Kamala Harris,0,1
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,1
Donald Trump,1,1
Kamala Harris,1,1
Kamala Harris,1,1
Kamala Harris,0,0
Donald Trump,0,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,0,0
Donald Trump,0,0
Other,0,0
Donald Trump,0,1
Kamala Harris,0,1
Kamala Harris,1,1
Kamala Harris,1,1
Kamala Harris,1,1
Kamala Harris,1,1
Kamala Harris,0,0
Donald Trump,0,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,0,1
Donald Trump,0,1
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,0,1
Donald Trump,0,1
Donald Trump,1,1
Kamala Harris,1,1
Donald Trump,1,1
Kamala Harris,1,1
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,0,0
Kamala Harris,0,0
Kamala Harris,0,1
Kamala Harris,0,1
Donald Trump,1,0
Donald Trump,1,0
Other,1,0
Donald Trump,1,1
Donald Trump,1,1
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,2,2
Donald Trump,2,2
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,0,0
Kamala Harris,0,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,0,0
Kamala Harris,0,0
Other,0,0
Kamala Harris,0,0
Kamala Harris,0,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,1
Kamala Harris,1,1
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,0,0
Donald Trump,0,0
Kamala Harris,1,0
Kamala Harris,1,0
Other,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,0,0
Donald Trump,0,0
Kamala Harris,0,0
Donald Trump,0,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,1
Donald Trump,1,1
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,0,0
Kamala Harris,0,0
Kamala Harris,1,0
Kamala Harris,1,0
Other,2,2
Kamala Harris,0,0
Kamala Harris,0,0
Kamala Harris,1,1
Kamala Harris,1,1
Donald Trump,1,0
Donald Trump,1,0
Other,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,1
Kamala Harris,1,1
Donald Trump,0,0
Donald Trump,0,0
Kamala Harris,1,0
Donald Trump,1,0
Other,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Other,0,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Other,0,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Kamala Harris,2,0
Donald Trump,2,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,1,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,0
Donald Trump,1,0
Kamala Harris,1,0
Donald Trump,0,0
Kamala Harris,0,0
Donald Trump,1,0
Kamala Harris,1,0
Kamala Harris,1,1
Kamala Harris,1,1
Other,1,0
